year,artists,name,popularity
2020,"['Bad Bunny', 'Jhay Cortez']",Dakiti,100
2020,"['24kGoldn', 'iann dior']",Mood (feat. iann dior),99
2020,['BTS'],Dynamite,97
2020,2020,WAP (feat. Megan Thee Stallion),96
2020,['Ariana Grande'],positions,96
2020,['Pop Smoke'],What You Know Bout Love,96
2020,['The Weeknd'],Blinding Lights,96
2020,"['Pop Smoke', 'Lil Baby', 'DaBaby']",For The Night (feat. Lil Baby & DaBaby),95
2020,"['Justin Bieber', 'Chance the Rapper']",Holy (feat. Chance The Rapper),95
2020,"['Justin Bieber', 'benny blanco']",Lonely (with benny blanco),95
2020,['Tate McRae'],you broke me first,95
2019,['Harry Styles'],Watermelon Sugar,94
2020,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",Lemonade,94
2020,"['Joel Corry', 'MNEK']",Head & Heart (feat. MNEK),94
2020,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",Relación - Remix,94
2020,"['Drake', 'Lil Durk']",Laugh Now Cry Later (feat. Lil Durk),93
2020,['Conan Gray'],Heather,93
2020,['Ritt Momney'],Put Your Records On,93
2020,['Billie Eilish'],Therefore I Am,93
2019,"['Topic', 'A7S']",Breaking Me,92
2020,['Ariana Grande'],34+35,92
2020,['Shawn Mendes'],Wonder,92
2020,['Jason Derulo'],Take You Dancing,92
2020,"['J Balvin', 'Tainy', 'Dua Lipa', 'Bad Bunny']",UN DIA (ONE DAY) (Feat. Tainy),92
2020,['Maluma'],Hawái,92
2019,['Lewis Capaldi'],Someone You Loved,91
2020,"['DJ Khaled', 'Drake']",POPSTAR (feat. Drake),91
2020,['Miley Cyrus'],Midnight Sky,91
2020,"['Jawsh 685', 'Jason Derulo']",Savage Love (Laxed - Siren Beat),91
2020,['KAROL G'],"Ay, DiOs Mío!",91
2019,['Clairo'],Sofia,90
2020,['Juice WRLD'],Wishing Well,90
2020,"['Juice WRLD', 'Marshmello']",Come & Go (with Marshmello),90
2020,"['Pop Smoke', 'Lil Tjay']",Mood Swings (feat. Lil Tjay),90
2020,['Ashnikko'],Daisy,90
2020,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']","Lemonade (feat. Gunna, Don Toliver & NAV)",90
2020,"['Powfu', 'beabadoobee']",death bed (coffee for your head),90
2020,"['Maluma', 'The Weeknd']",Hawái - Remix,90
2020,['BTS'],Life Goes On,90
1977,['Fleetwood Mac'],Dreams - 2004 Remaster,89
2018,['Juice WRLD'],Lucid Dreams,89
2018,"['Billie Eilish', 'Khalid']",lovely (with Khalid),89
2019,['Post Malone'],Circles,89
2019,['Roddy Ricch'],The Box,89
2019,['Harry Styles'],Golden,89
2019,['Tones And I'],Dance Monkey,89
2019,['Maroon 5'],Memories,89
2020,['Ariana Grande'],pov,89
2020,"['Chris Brown', 'Young Thug']",Go Crazy,89
2020,"['Dua Lipa', 'DaBaby']",Levitating (feat. DaBaby),89
2020,"['Ariana Grande', 'Justin Bieber']",Stuck with U (with Justin Bieber),89
1994,['Mariah Carey'],All I Want for Christmas Is You,88
2016,['James Arthur'],Train Wreck,88
2019,['Juice WRLD'],Robbery,88
2019,['Travis Scott'],HIGHEST IN THE ROOM,88
2019,['Harry Styles'],Falling,88
2019,['Harry Styles'],Adore You,88
2019,['Billie Eilish'],bad guy,88
2019,"['Surf Mesa', 'Emilee']",ily (i love you baby) (feat. Emilee),88
2019,"['KAROL G', 'Nicki Minaj']",Tusa,88
2020,['Jack Harlow'],Tyler Herro,88
2020,"['Jack Harlow', 'Tory Lanez', 'DaBaby', 'Lil Wayne']","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",88
2020,"['Machine Gun Kelly', 'blackbear']",my ex's best friend (with blackbear),88
2020,"['Ariana Grande', 'Doja Cat']",motive (with Doja Cat),88
2020,['salem ilese'],Mad at Disney,88
2020,['Fousheé'],Deep End,88
2013,['The Neighbourhood'],Sweater Weather,87
2015,['BØRNS'],Electric Love,87
2017,['XXXTENTACION'],Jocelyn Flores,87
2017,['Imagine Dragons'],Believer,87
2018,['Juice WRLD'],All Girls Are The Same,87
2019,"['JP Saxe', 'Julia Michaels']",If the World Was Ending - feat. Julia Michaels,87
2019,['Arizona Zervas'],ROXANNE,87
2019,['Billie Eilish'],everything i wanted,87
2019,['Ariana Grande'],7 rings,87
2019,['Regard'],Ride It,87
2020,['Polo G'],Martin & Gina,87
2020,"['Kane Brown', 'Swae Lee', 'Khalid']",Be Like That - feat. Swae Lee & Khalid,87
2020,['The Kid LAROI'],SO DONE,87
2020,"['Pop Smoke', '50 Cent', 'Roddy Ricch']",The Woo (feat. 50 Cent & Roddy Ricch),87
2020,"['DJ Khaled', 'Drake']",GREECE (feat. Drake),87
2020,['Sam Smith'],Diamonds,87
2020,"['Shawn Mendes', 'Justin Bieber']",Monster (Shawn Mendes & Justin Bieber),87
2020,['Ava Max'],Kings & Queens,87
2013,['John Legend'],All of Me,86
2014,['Ariana Grande'],Santa Tell Me,86
2015,['The Neighbourhood'],Daddy Issues,86
2016,['James Arthur'],Say You Won't Let Go,86
2017,['Ed Sheeran'],Perfect,86
2018,['XXXTENTACION'],SAD!,86
2018,"['Post Malone', '21 Savage']",rockstar (feat. 21 Savage),86
2018,['Trevor Daniel'],Falling,86
2019,"['Wallows', 'Clairo']",Are You Bored Yet? (feat. Clairo),86
2019,['Lil Peep'],Star Shopping,86
2019,['Billie Eilish'],when the party's over,86
2019,['Labrinth'],Still Don't Know My Name,86
2019,['Lewis Capaldi'],Before You Go,86
2019,['Doja Cat'],Say So,86
2019,['Lewis Capaldi'],Before You Go,86
2019,['Dua Lipa'],Don't Start Now,86
2020,['Luke Combs'],Forever After All,86
2020,"['21 Savage', 'Metro Boomin']",Runnin,86
2020,"['21 Savage', 'Metro Boomin', 'Drake']",Mr. Right Now (feat. Drake),86
2020,"['CORPSE', 'Savage Ga$p']",E-GIRLS ARE RUINING MY LIFE!,86
2020,['Don Toliver'],After Party,86
2020,['blackbear'],hot girl bummer,86
